구,전용면적,년,월,거래금액,면적금액,층,건축년도,도로명
강남구,77.75,2019,6,134500 ,1730 ,4,1988,언주로 103
강남구,77.75,2019,11,160000 ,2058 ,2,1988,언주로 103
강남구,67.28,2019,5,124000 ,1843 ,4,1987,언주로 3
강남구,79.97,2019,6,141000 ,1763 ,5,1987,언주로 3
강남구,79.97,2019,8,155000 ,1938 ,4,1987,언주로 3
강남구,79.97,2019,9,157000 ,1963 ,2,1987,언주로 3
강남구,79.97,2019,9,151500 ,1894 ,5,1987,언주로 3
강남구,133.46,2019,1,197000 ,1476 ,12,1984,개포로 307
강남구,104.43,2019,6,157000 ,1503 ,6,1984,개포로 307
강남구,104.43,2019,8,174000 ,1666 ,11,1984,개포로 307
강남구,104.43,2019,9,174000 ,1666 ,13,1984,개포로 307
강남구,133.46,2019,10,230000 ,1723 ,3,1984,개포로 307
강남구,161,2019,10,240000 ,1491 ,12,1984,개포로 307
강남구,104.43,2019,11,182000 ,1743 ,14,1984,개포로 307
강남구,161,2019,11,265000 ,1646 ,15,1984,개포로 307
강남구,104.43,2019,11,187000 ,1791 ,3,1984,개포로 307
강남구,168.42,2019,6,211000 ,1253 ,14,2004,개포로109길 69
강남구,134.3,2019,7,174000 ,1296 ,16,2004,개포로109길 69
강남구,170.32,2019,9,213000 ,1251 ,10,2004,개포로109길 69
강남구,168.42,2019,10,202500 ,1202 ,19,2004,개포로109길 69
강남구,134.3,2019,10,194000 ,1445 ,19,2004,개포로109길 69
강남구,170.32,2019,11,202500 ,1189 ,2,2004,개포로109길 69
강남구,134.3,2019,11,195000 ,1452 ,10,2004,개포로109길 69
강남구,170.32,2019,11,215000 ,1262 ,18,2004,개포로109길 69
강남구,168.42,2019,12,202000 ,1199 ,5,2004,개포로109길 69
강남구,170.32,2019,12,218000 ,1280 ,9,2004,개포로109길 69
강남구,50.64,2019,2,162000 ,3199 ,2,1982,개포로 310
강남구,58.08,2019,3,185000 ,3185 ,4,1982,개포로 310
강남구,50.38,2019,3,163000 ,3235 ,2,1982,개포로 310
강남구,42.55,2019,3,145000 ,3408 ,3,1982,개포로 310
강남구,35.87,2019,3,140000 ,3903 ,2,1982,개포로 310
강남구,50.38,2019,3,180000 ,3573 ,3,1982,개포로 310
강남구,50.64,2019,3,168000 ,3318 ,1,1982,개포로 310
강남구,49.56,2019,3,190000 ,3834 ,2,1982,선릉로 7
강남구,42.55,2019,4,150000 ,3525 ,2,1982,개포로 310
강남구,42.55,2019,4,149000 ,3502 ,2,1982,개포로 310
강남구,50.64,2019,4,165000 ,3258 ,4,1982,개포로 310
강남구,50.38,2019,4,170000 ,3374 ,4,1982,개포로 310
강남구,35.64,2019,4,143000 ,4012 ,2,1982,개포로 310
강남구,50.64,2019,4,168000 ,3318 ,5,1982,개포로 310
강남구,41.98,2019,4,158000 ,3764 ,2,1982,개포로 310
강남구,42.55,2019,4,152000 ,3572 ,2,1982,개포로 310
강남구,50.64,2019,4,177000 ,3495 ,3,1982,개포로 310
강남구,41.98,2019,4,150000 ,3573 ,5,1982,개포로 310
강남구,41.98,2019,4,165000 ,3930 ,2,1982,개포로 310
강남구,58.08,2019,4,195000 ,3357 ,1,1982,개포로 310
강남구,42.55,2019,4,140000 ,3290 ,2,1982,개포로 310
강남구,35.87,2019,4,142000 ,3959 ,5,1982,개포로 310
강남구,50.38,2019,4,175000 ,3474 ,3,1982,개포로 310
강남구,50.64,2019,4,198000 ,3910 ,3,1982,개포로 310
강남구,35.64,2019,5,135000 ,3788 ,5,1982,개포로 310
강남구,58.08,2019,5,192000 ,3306 ,3,1982,개포로 310
강남구,41.98,2019,5,151500 ,3609 ,5,1982,개포로 310
강남구,42.55,2019,5,150000 ,3525 ,1,1982,개포로 310
강남구,50.38,2019,5,199000 ,3950 ,5,1982,개포로 310
강남구,35.87,2019,5,137500 ,3833 ,3,1982,개포로 310
강남구,42.55,2019,5,151000 ,3549 ,4,1982,개포로 310
강남구,58.08,2019,5,193000 ,3323 ,3,1982,개포로 310
강남구,50.64,2019,5,214000 ,4226 ,3,1982,개포로 310
강남구,41.98,2019,5,151000 ,3597 ,5,1982,개포로 310
강남구,58.08,2019,5,200000 ,3444 ,5,1982,개포로 310
강남구,56.57,2019,5,245000 ,4331 ,5,1982,선릉로 7
강남구,35.64,2019,5,140000 ,3928 ,3,1982,개포로 310
강남구,35.44,2019,5,127000 ,3584 ,4,1982,개포로 310
강남구,42.55,2019,5,186000 ,4371 ,4,1982,개포로 310
강남구,49.56,2019,5,204000 ,4116 ,5,1982,선릉로 7
강남구,35.87,2019,5,140500 ,3917 ,3,1982,개포로 310
강남구,42.55,2019,5,165000 ,3878 ,2,1982,개포로 310
강남구,50.64,2019,5,200000 ,3949 ,5,1982,개포로 310
강남구,41.98,2019,5,178000 ,4240 ,1,1982,개포로 310
강남구,50.38,2019,5,179000 ,3553 ,5,1982,개포로 310
강남구,49.56,2019,5,210000 ,4237 ,4,1982,선릉로 7
강남구,58.08,2019,5,240000 ,4132 ,2,1982,개포로 310
강남구,42.55,2019,5,209000 ,4912 ,1,1982,개포로 310
강남구,61.57,2019,5,228000 ,3703 ,3,1982,선릉로 7
강남구,41.98,2019,5,165000 ,3930 ,1,1982,개포로 310
강남구,35.64,2019,5,141000 ,3956 ,1,1982,개포로 310
강남구,42.55,2019,5,164000 ,3854 ,5,1982,개포로 310
강남구,35.64,2019,5,141000 ,3956 ,3,1982,개포로 310
강남구,50.64,2019,5,178500 ,3525 ,2,1982,개포로 310
강남구,35.64,2019,5,144000 ,4040 ,1,1982,개포로 310
강남구,41.98,2019,5,169000 ,4026 ,5,1982,개포로 310
강남구,61.57,2019,5,250000 ,4060 ,1,1982,선릉로 7
강남구,50.38,2019,5,179000 ,3553 ,5,1982,개포로 310
강남구,50.38,2019,6,212000 ,4208 ,2,1982,개포로 310
강남구,49.56,2019,6,209000 ,4217 ,2,1982,선릉로 7
강남구,42.55,2019,6,220000 ,5170 ,5,1982,개포로 310
강남구,45.26,2019,6,170000 ,3756 ,2,1982,개포로 310
강남구,42.55,2019,6,155000 ,3643 ,1,1982,개포로 310
강남구,42.55,2019,6,170000 ,3995 ,1,1982,개포로 310
강남구,58.08,2019,6,187540 ,3229 ,4,1982,개포로 310
강남구,41.98,2019,6,153000 ,3645 ,3,1982,개포로 310
강남구,35.87,2019,6,145000 ,4042 ,3,1982,개포로 310
강남구,49.56,2019,6,205000 ,4136 ,1,1982,선릉로 7
강남구,41.98,2019,6,168000 ,4002 ,3,1982,개포로 310
강남구,56.57,2019,6,196200 ,3468 ,5,1982,선릉로 7
강남구,58.08,2019,6,196000 ,3375 ,2,1982,개포로 310
강남구,50.38,2019,6,209000 ,4148 ,1,1982,개포로 310
강남구,49.56,2019,6,205500 ,4146 ,2,1982,선릉로 7
강남구,35.64,2019,6,150000 ,4209 ,5,1982,개포로 310
강남구,45.26,2019,6,178000 ,3933 ,3,1982,개포로 310
강남구,42.55,2019,6,193000 ,4536 ,5,1982,개포로 310
강남구,35.87,2019,6,199000 ,5548 ,5,1982,개포로 310
강남구,42.55,2019,6,139000 ,3267 ,5,1982,개포로 310
강남구,58.08,2019,7,220000 ,3788 ,3,1982,개포로 310
강남구,50.38,2019,7,212000 ,4208 ,3,1982,개포로 310
강남구,58.08,2019,7,230000 ,3960 ,5,1982,개포로 310
강남구,42.55,2019,7,219500 ,5159 ,4,1982,개포로 310
강남구,49.56,2019,7,220000 ,4439 ,3,1982,선릉로 7
강남구,49.56,2019,7,217000 ,4379 ,1,1982,선릉로 7
강남구,50.38,2019,7,194000 ,3851 ,2,1982,개포로 310
강남구,58.08,2019,7,202000 ,3478 ,2,1982,개포로 310
강남구,58.08,2019,7,228000 ,3926 ,5,1982,개포로 310
강남구,35.64,2019,7,187500 ,5261 ,4,1982,개포로 310
강남구,41.98,2019,7,165000 ,3930 ,4,1982,개포로 310
강남구,41.98,2019,7,177000 ,4216 ,5,1982,개포로 310
강남구,50.64,2019,7,220000 ,4344 ,3,1982,개포로 310
강남구,45.26,2019,7,179000 ,3955 ,3,1982,개포로 310
강남구,50.64,2019,7,193000 ,3811 ,4,1982,개포로 310
강남구,41.98,2019,7,179000 ,4264 ,4,1982,개포로 310
강남구,58.08,2019,7,205000 ,3530 ,5,1982,개포로 310
강남구,41.98,2019,7,179000 ,4264 ,4,1982,개포로 310
강남구,49.56,2019,7,225000 ,4540 ,1,1982,선릉로 7
강남구,42.55,2019,7,180000 ,4230 ,3,1982,개포로 310
강남구,58.08,2019,8,236000 ,4063 ,3,1982,개포로 310
강남구,50.64,2019,8,193000 ,3811 ,5,1982,개포로 310
강남구,50.64,2019,8,194000 ,3831 ,4,1982,개포로 310
강남구,41.98,2019,8,180000 ,4288 ,2,1982,개포로 310
강남구,49.56,2019,8,225000 ,4540 ,3,1982,선릉로 7
강남구,58.08,2019,8,273500 ,4709 ,4,1982,개포로 310
강남구,56.57,2019,8,225000 ,3977 ,2,1982,선릉로 7
강남구,50.64,2019,8,193000 ,3811 ,3,1982,개포로 310
강남구,35.44,2019,8,200000 ,5643 ,2,1982,개포로 310
강남구,50.64,2019,8,210000 ,4147 ,2,1982,개포로 310
강남구,58.08,2019,8,230000 ,3960 ,5,1982,개포로 310
강남구,42.55,2019,8,182000 ,4277 ,2,1982,개포로 310
강남구,41.98,2019,8,180000 ,4288 ,4,1982,개포로 310
강남구,56.57,2019,8,235000 ,4154 ,1,1982,선릉로 7
강남구,49.56,2019,8,233000 ,4701 ,3,1982,선릉로 7
강남구,42.55,2019,8,178500 ,4195 ,4,1982,개포로 310
강남구,58.08,2019,8,230000 ,3960 ,4,1982,개포로 310
강남구,41.98,2019,8,179000 ,4264 ,3,1982,개포로 310
강남구,41.98,2019,8,167500 ,3990 ,2,1982,개포로 310
강남구,58.08,2019,8,265000 ,4563 ,5,1982,개포로 310
강남구,50.38,2019,8,195000 ,3871 ,4,1982,개포로 310
강남구,49.56,2019,8,240000 ,4843 ,3,1982,선릉로 7
강남구,50.64,2019,8,193000 ,3811 ,2,1982,개포로 310
강남구,50.64,2019,8,195000 ,3851 ,2,1982,개포로 310
강남구,58.08,2019,8,232000 ,3994 ,1,1982,개포로 310
강남구,49.56,2019,8,240000 ,4843 ,3,1982,선릉로 7
강남구,50.64,2019,8,196000 ,3870 ,1,1982,개포로 310
강남구,41.98,2019,8,182000 ,4335 ,4,1982,개포로 310
강남구,61.57,2019,8,310000 ,5035 ,2,1982,선릉로 7
강남구,42.55,2019,8,180000 ,4230 ,1,1982,개포로 310
강남구,50.38,2019,8,193000 ,3831 ,1,1982,개포로 310
강남구,49.56,2019,9,225000 ,4540 ,4,1982,선릉로 7
강남구,49.56,2019,9,225000 ,4540 ,3,1982,선릉로 7
강남구,50.64,2019,9,250000 ,4937 ,3,1982,개포로 310
강남구,35.87,2019,9,175000 ,4879 ,2,1982,개포로 310
강남구,50.64,2019,9,230000 ,4542 ,4,1982,개포로 310
강남구,56.57,2019,9,184000 ,3253 ,5,1982,선릉로 7
강남구,58.08,2019,9,182000 ,3134 ,4,1982,개포로 310
강남구,50.38,2019,9,193500 ,3841 ,3,1982,개포로 310
강남구,58.08,2019,9,230000 ,3960 ,3,1982,개포로 310
강남구,50.64,2019,9,185000 ,3653 ,2,1982,개포로 310
강남구,35.64,2019,9,210000 ,5892 ,1,1982,개포로 310
강남구,41.98,2019,9,185000 ,4407 ,2,1982,개포로 310
강남구,41.98,2019,9,225000 ,5360 ,4,1982,개포로 310
강남구,35.44,2019,9,165000 ,4656 ,5,1982,개포로 310
강남구,56.57,2019,9,305000 ,5392 ,2,1982,선릉로 7
강남구,42.55,2019,9,187000 ,4395 ,5,1982,개포로 310
강남구,50.64,2019,9,205000 ,4048 ,3,1982,개포로 310
강남구,41.98,2019,9,190000 ,4526 ,2,1982,개포로 310
강남구,50.64,2019,9,248000 ,4897 ,2,1982,개포로 310
강남구,49.56,2019,9,213000 ,4298 ,1,1982,선릉로 7
강남구,50.38,2019,9,280000 ,5558 ,2,1982,개포로 310
강남구,50.38,2019,9,280000 ,5558 ,2,1982,개포로 310
강남구,49.56,2019,9,241000 ,4863 ,5,1982,선릉로 7
강남구,49.56,2019,9,225000 ,4540 ,5,1982,선릉로 7
강남구,56.57,2019,9,257000 ,4543 ,5,1982,선릉로 7
강남구,53.63,2019,9,225000 ,4195 ,3,1982,선릉로 7
강남구,35.64,2019,9,240000 ,6734 ,1,1982,개포로 310
강남구,50.38,2019,9,220000 ,4367 ,5,1982,개포로 310
강남구,41.98,2019,10,180000 ,4288 ,4,1982,개포로 310
강남구,35.64,2019,10,153000 ,4293 ,2,1982,개포로 310
강남구,42.55,2019,10,205000 ,4818 ,4,1982,개포로 310
강남구,50.64,2019,10,225000 ,4443 ,5,1982,개포로 310
강남구,42.55,2019,10,207000 ,4865 ,2,1982,개포로 310
강남구,50.38,2019,10,223000 ,4426 ,2,1982,개포로 310
강남구,58.08,2019,10,260000 ,4477 ,4,1982,개포로 310
강남구,50.64,2019,10,270000 ,5332 ,5,1982,개포로 310
강남구,42.55,2019,10,205000 ,4818 ,3,1982,개포로 310
강남구,41.98,2019,10,180000 ,4288 ,5,1982,개포로 310
강남구,42.55,2019,10,205000 ,4818 ,5,1982,개포로 310
강남구,45.26,2019,10,205000 ,4529 ,5,1982,개포로 310
강남구,41.98,2019,10,205000 ,4883 ,5,1982,개포로 310
강남구,35.44,2019,10,175000 ,4938 ,4,1982,개포로 310
강남구,35.87,2019,10,196000 ,5464 ,3,1982,개포로 310
강남구,50.38,2019,11,270000 ,5359 ,3,1982,개포로 310
강남구,50.38,2019,11,219000 ,4347 ,5,1982,개포로 310
강남구,50.38,2019,11,219000 ,4347 ,4,1982,개포로 310
강남구,50.64,2019,11,218000 ,4305 ,5,1982,개포로 310
강남구,50.38,2019,11,215000 ,4268 ,4,1982,개포로 310
강남구,50.38,2019,11,218000 ,4327 ,4,1982,개포로 310
강남구,41.98,2019,11,205000 ,4883 ,1,1982,개포로 310
강남구,35.44,2019,11,179000 ,5051 ,4,1982,개포로 310
강남구,50.64,2019,11,215000 ,4246 ,5,1982,개포로 310
강남구,50.64,2019,11,215000 ,4246 ,1,1982,개포로 310
강남구,56.57,2019,11,286500 ,5065 ,3,1982,선릉로 7
강남구,41.98,2019,12,204000 ,4859 ,5,1982,개포로 310
강남구,50.38,2019,12,220000 ,4367 ,2,1982,개포로 310
강남구,35.64,2019,12,153000 ,4293 ,1,1982,개포로 310
강남구,41.98,2019,12,205000 ,4883 ,1,1982,개포로 310
강남구,50.64,2019,12,223000 ,4404 ,4,1982,개포로 310
강남구,50.38,2019,12,215000 ,4268 ,5,1982,개포로 310
강남구,50.38,2019,12,223000 ,4426 ,4,1982,개포로 310
강남구,50.64,2019,12,223000 ,4404 ,1,1982,개포로 310
강남구,50.64,2019,12,230000 ,4542 ,2,1982,개포로 310
강남구,58.08,2019,12,260000 ,4477 ,2,1982,개포로 310
강남구,41.98,2019,12,186000 ,4431 ,3,1982,개포로 310
강남구,35.87,2019,12,250000 ,6970 ,5,1982,개포로 310
강남구,50.38,2019,12,255000 ,5062 ,1,1982,개포로 310
강남구,42.55,2019,1,140500 ,3302 ,3,1982,삼성로 14
강남구,42.55,2019,1,139000 ,3267 ,4,1982,삼성로 14
강남구,41.99,2019,1,137000 ,3263 ,1,1982,삼성로 14
강남구,35.87,2019,10,182000 ,5074 ,1,1982,삼성로 14
강남구,83.17,2019,1,176000 ,2116 ,9,1983,삼성로4길 17
강남구,74.25,2019,2,153500 ,2067 ,1,1983,삼성로4길 17
강남구,61.19,2019,2,134500 ,2198 ,7,1983,삼성로4길 17
강남구,74.25,2019,3,158000 ,2128 ,9,1983,삼성로4길 17
강남구,61.19,2019,4,130000 ,2125 ,13,1983,삼성로4길 17
강남구,83.17,2019,4,175500 ,2110 ,6,1983,삼성로4길 17
강남구,53.98,2019,4,127300 ,2358 ,10,1983,삼성로4길 17
강남구,83.17,2019,5,180000 ,2164 ,5,1983,삼성로4길 17
강남구,74.25,2019,5,171000 ,2303 ,12,1983,삼성로4길 17
강남구,61.19,2019,5,150000 ,2451 ,3,1983,삼성로4길 17
강남구,74.25,2019,6,174700 ,2353 ,6,1983,삼성로4길 17
강남구,74.25,2019,6,170900 ,2302 ,2,1983,삼성로4길 17
강남구,61.19,2019,6,154000 ,2517 ,12,1983,삼성로4길 17
강남구,74.25,2019,6,181000 ,2438 ,9,1983,삼성로4길 17
강남구,53.98,2019,6,155000 ,2871 ,5,1983,삼성로4길 17
강남구,83.17,2019,6,182000 ,2188 ,1,1983,삼성로4길 17
강남구,61.19,2019,7,159500 ,2607 ,6,1983,삼성로4길 17
강남구,53.98,2019,7,151000 ,2797 ,6,1983,삼성로4길 17
강남구,74.25,2019,8,181000 ,2438 ,5,1983,삼성로4길 17
강남구,83.17,2019,8,195000 ,2345 ,12,1983,삼성로4길 17
강남구,83.17,2019,8,194000 ,2333 ,8,1983,삼성로4길 17
강남구,83.17,2019,9,195000 ,2345 ,3,1983,삼성로4길 17
강남구,53.98,2019,9,155000 ,2871 ,6,1983,삼성로4길 17
강남구,74.25,2019,9,186000 ,2505 ,10,1983,삼성로4길 17
강남구,53.98,2019,9,155000 ,2871 ,6,1983,삼성로4길 17
강남구,74.25,2019,10,187000 ,2519 ,3,1983,삼성로4길 17
강남구,61.19,2019,10,165000 ,2697 ,9,1983,삼성로4길 17
강남구,61.19,2019,10,167000 ,2729 ,4,1983,삼성로4길 17
강남구,74.25,2019,11,195000 ,2626 ,13,1983,삼성로4길 17
강남구,60.13,2019,1,135000 ,2245 ,8,1983,개포로 516
강남구,60.13,2019,2,130000 ,2162 ,5,1983,개포로 516
강남구,53.06,2019,3,118000 ,2224 ,2,1983,개포로 516
강남구,73.02,2019,3,152000 ,2082 ,10,1983,개포로 516
강남구,60.13,2019,3,133000 ,2212 ,12,1983,개포로 516
강남구,53.06,2019,4,118000 ,2224 ,1,1983,개포로 516
강남구,60.13,2019,4,135800 ,2258 ,5,1983,개포로 516
강남구,83.21,2019,4,165000 ,1983 ,1,1983,개포로 516
강남구,60.13,2019,4,138000 ,2295 ,4,1983,개포로 516
강남구,53.06,2019,5,127000 ,2394 ,7,1983,개포로 516
강남구,53.06,2019,5,134500 ,2535 ,1,1983,개포로 516
강남구,83.21,2019,6,181000 ,2175 ,2,1983,개포로 516
강남구,60.13,2019,6,150000 ,2495 ,5,1983,개포로 516
강남구,73.02,2019,6,170000 ,2328 ,5,1983,개포로 516
강남구,83.21,2019,6,189000 ,2271 ,14,1983,개포로 516
강남구,73.02,2019,6,179000 ,2451 ,2,1983,개포로 516
강남구,60.13,2019,7,159000 ,2644 ,5,1983,개포로 516
강남구,73.02,2019,7,181000 ,2479 ,5,1983,개포로 516
강남구,53.06,2019,8,146500 ,2761 ,8,1983,개포로 516
강남구,83.21,2019,8,191000 ,2295 ,9,1983,개포로 516
강남구,60.13,2019,9,158000 ,2628 ,8,1983,개포로 516
강남구,73.02,2019,9,182000 ,2492 ,13,1983,개포로 516
강남구,60.13,2019,9,155300 ,2583 ,2,1983,개포로 516
강남구,73.02,2019,9,184500 ,2527 ,9,1983,개포로 516
강남구,83.21,2019,9,190000 ,2283 ,2,1983,개포로 516
강남구,73.02,2019,9,181000 ,2479 ,8,1983,개포로 516
강남구,53.06,2019,9,150000 ,2827 ,7,1983,개포로 516
강남구,60.13,2019,10,160000 ,2661 ,4,1983,개포로 516
강남구,83.21,2019,10,197000 ,2368 ,5,1983,개포로 516
강남구,73.02,2019,10,189000 ,2588 ,2,1983,개포로 516
강남구,83.21,2019,11,205000 ,2464 ,11,1983,개포로 516
강남구,53.06,2019,11,160000 ,3015 ,11,1983,개포로 516
강남구,73.02,2019,11,189000 ,2588 ,5,1983,개포로 516
강남구,53.06,2019,11,163000 ,3072 ,1,1983,개포로 516
강남구,83.21,2019,11,165000 ,1983 ,8,1983,개포로 516
강남구,83.21,2019,12,220000 ,2644 ,5,1983,개포로 516
강남구,60.13,2019,12,169000 ,2811 ,11,1983,개포로 516
강남구,60.76,2019,1,132000 ,2172 ,6,1983,개포로 516
강남구,60.76,2019,2,130500 ,2148 ,9,1983,개포로 516
강남구,53.46,2019,2,114000 ,2132 ,14,1983,개포로 516
강남구,83.7,2019,3,165000 ,1971 ,15,1983,개포로 516
강남구,53.46,2019,3,124000 ,2319 ,2,1983,개포로 516
강남구,60.76,2019,4,139000 ,2288 ,9,1983,개포로 516
강남구,83.7,2019,4,174000 ,2079 ,13,1983,개포로 516
강남구,83.7,2019,5,170000 ,2031 ,1,1983,개포로 516
강남구,60.76,2019,5,143000 ,2354 ,11,1983,개포로 516
강남구,60.76,2019,5,142000 ,2337 ,5,1983,개포로 516
강남구,60.76,2019,5,150500 ,2477 ,9,1983,개포로 516
강남구,53.46,2019,5,139000 ,2600 ,12,1983,개포로 516
강남구,83.7,2019,6,184000 ,2198 ,7,1983,개포로 516
강남구,60.76,2019,6,150000 ,2469 ,6,1983,개포로 516
강남구,60.76,2019,6,148000 ,2436 ,3,1983,개포로 516
강남구,53.46,2019,6,140000 ,2619 ,2,1983,개포로 516
강남구,73.26,2019,6,172000 ,2348 ,11,1983,개포로 516
강남구,73.26,2019,6,172000 ,2348 ,10,1983,개포로 516
강남구,60.76,2019,6,160000 ,2633 ,6,1983,개포로 516
강남구,60.76,2019,6,161500 ,2658 ,14,1983,개포로 516
강남구,73.26,2019,6,176000 ,2402 ,3,1983,개포로 516
강남구,53.46,2019,6,130000 ,2432 ,14,1983,개포로 516
강남구,83.7,2019,7,185000 ,2210 ,4,1983,개포로 516
강남구,53.46,2019,7,152000 ,2843 ,4,1983,개포로 516
강남구,60.76,2019,8,158000 ,2600 ,5,1983,개포로 516
강남구,83.7,2019,8,189000 ,2258 ,11,1983,개포로 516
강남구,53.46,2019,8,147500 ,2759 ,4,1983,개포로 516
강남구,53.46,2019,8,148000 ,2768 ,7,1983,개포로 516
강남구,83.7,2019,9,190000 ,2270 ,2,1983,개포로 516
강남구,60.76,2019,9,161500 ,2658 ,11,1983,개포로 516
강남구,53.46,2019,9,150000 ,2806 ,6,1983,개포로 516
강남구,60.76,2019,9,162000 ,2666 ,6,1983,개포로 516
강남구,73.26,2019,9,180000 ,2457 ,4,1983,개포로 516
강남구,60.76,2019,9,165000 ,2716 ,7,1983,개포로 516
강남구,83.7,2019,10,200000 ,2389 ,9,1983,개포로 516
강남구,60.76,2019,11,170000 ,2798 ,9,1983,개포로 516
강남구,53.46,2019,11,165500 ,3096 ,10,1983,개포로 516
강남구,53.46,2019,11,170000 ,3180 ,14,1983,개포로 516
강남구,53.46,2019,11,170000 ,3180 ,15,1983,개포로 516
강남구,82.2,2019,7,149000 ,1813 ,2,1986,언주로 105
강남구,82.2,2019,10,160000 ,1946 ,3,1986,언주로 105
강남구,132.63,2019,1,102000 ,769 ,6,1993,개포로15길 32-8
강남구,96.98,2019,3,161000 ,1660 ,10,1984,언주로 110
강남구,96.98,2019,4,160000 ,1650 ,6,1984,언주로 110
강남구,123.28,2019,4,193000 ,1566 ,2,1984,언주로 110
강남구,96.98,2019,5,165000 ,1701 ,6,1984,언주로 110
강남구,123.28,2019,6,209000 ,1695 ,10,1984,언주로 110
강남구,123.28,2019,6,208000 ,1687 ,10,1984,언주로 110
강남구,96.98,2019,6,163000 ,1681 ,11,1984,언주로 110
강남구,123.28,2019,6,210000 ,1703 ,9,1984,언주로 110
강남구,123.28,2019,6,230000 ,1866 ,8,1984,언주로 110
강남구,96.98,2019,7,165000 ,1701 ,12,1984,언주로 110
강남구,123.28,2019,7,220000 ,1785 ,11,1984,언주로 110
강남구,166.48,2019,7,246000 ,1478 ,8,1984,언주로 110
강남구,123.28,2019,8,220000 ,1785 ,3,1984,언주로 110
강남구,96.98,2019,10,203000 ,2093 ,7,1984,언주로 110
강남구,166.48,2019,12,288000 ,1730 ,7,1984,언주로 110
강남구,182.2,2019,1,229500 ,1260 ,6,1984,언주로 110
강남구,182.2,2019,5,240000 ,1317 ,10,1984,언주로 110
강남구,182.2,2019,6,246000 ,1350 ,4,1984,언주로 110
강남구,149.21,2019,6,210000 ,1407 ,9,1984,언주로 110
강남구,182.2,2019,9,257000 ,1411 ,10,1984,언주로 110
강남구,149.21,2019,9,222000 ,1488 ,1,1984,언주로 110
강남구,182.2,2019,11,282500 ,1550 ,15,1984,언주로 110
강남구,182.2,2019,12,260000 ,1427 ,1,1984,언주로 110
강남구,69.86,2019,10,60700 ,869 ,5,2001,논현로2길 61-4
강남구,84.36,2019,9,240000 ,2845 ,17,2019,삼성로 11
강남구,59.75,2019,9,165000 ,2762 ,3,2019,삼성로 11
강남구,84.36,2019,9,235000 ,2786 ,16,2019,삼성로 11
강남구,84.36,2019,10,259000 ,3070 ,23,2019,삼성로 11
강남구,76.17,2019,10,234000 ,3072 ,15,2019,삼성로 11
강남구,84.36,2019,11,253000 ,2999 ,4,2019,삼성로 11
강남구,113.96,2019,3,245000 ,2150 ,16,2019,선릉로 8
강남구,99.991,2019,3,230000 ,2300 ,32,2019,선릉로 8
강남구,49.909,2019,4,126000 ,2525 ,10,2019,선릉로 8
강남구,99.919,2019,5,231700 ,2319 ,16,2019,선릉로 8
강남구,84.94,2019,5,204000 ,2402 ,28,2019,선릉로 8
강남구,59.888,2019,5,134000 ,2238 ,6,2019,선릉로 8
강남구,84.943,2019,5,185000 ,2178 ,19,2019,선릉로 8
강남구,59.967,2019,6,160000 ,2668 ,17,2019,선릉로 8
강남구,126.928,2019,6,252000 ,1985 ,20,2019,선릉로 8
강남구,84.95,2019,6,197000 ,2319 ,5,2019,선릉로 8
강남구,84.94,2019,6,208000 ,2449 ,9,2019,선릉로 8
강남구,84.943,2019,6,185000 ,2178 ,13,2019,선릉로 8
강남구,84.95,2019,6,200000 ,2354 ,9,2019,선릉로 8
강남구,84.943,2019,6,205000 ,2413 ,17,2019,선릉로 8
강남구,59.888,2019,6,165000 ,2755 ,7,2019,선릉로 8
강남구,59.888,2019,6,158000 ,2638 ,5,2019,선릉로 8
강남구,59.888,2019,6,149000 ,2488 ,7,2019,선릉로 8
강남구,59.888,2019,6,140000 ,2338 ,6,2019,선릉로 8
강남구,84.95,2019,6,197000 ,2319 ,15,2019,선릉로 8
강남구,84.943,2019,6,220000 ,2590 ,16,2019,선릉로 8
강남구,59.967,2019,7,182000 ,3035 ,17,2019,선릉로 8
강남구,84.94,2019,7,230000 ,2708 ,22,2019,선릉로 8
강남구,99.979,2019,7,262000 ,2621 ,18,2019,선릉로 8
강남구,99.919,2019,7,255000 ,2552 ,16,2019,선릉로 8
강남구,59.967,2019,7,179500 ,2993 ,5,2019,선릉로 8
강남구,59.837,2019,7,184000 ,3075 ,20,2019,선릉로 8
강남구,59.888,2019,7,140000 ,2338 ,6,2019,선릉로 8
강남구,99.991,2019,7,270000 ,2700 ,12,2019,선릉로 8
강남구,84.943,2019,8,235000 ,2767 ,11,2019,선릉로 8
강남구,84.95,2019,8,230000 ,2707 ,27,2019,선릉로 8
강남구,99.991,2019,8,280000 ,2800 ,15,2019,선릉로 8
강남구,59.897,2019,8,185000 ,3089 ,11,2019,선릉로 8
강남구,84.943,2019,8,235000 ,2767 ,16,2019,선릉로 8
강남구,49.909,2019,8,147000 ,2945 ,8,2019,선릉로 8
강남구,84.95,2019,8,254000 ,2990 ,10,2019,선릉로 8
강남구,99.919,2019,8,282000 ,2822 ,13,2019,선릉로 8
강남구,49.909,2019,8,123000 ,2464 ,11,2019,선릉로 8
강남구,113.96,2019,9,300000 ,2633 ,19,2019,선릉로 8
강남구,49.909,2019,9,148000 ,2965 ,10,2019,선릉로 8
강남구,113.96,2019,9,255000 ,2238 ,28,2019,선릉로 8
강남구,84.95,2019,9,232000 ,2731 ,23,2019,선릉로 8
